date_of_extract,organisation_number,registered_charity_number,linked_charity_number,charity_name,charity_type,charity_registration_status,date_of_registration,date_of_removal,charity_reporting_status,latest_acc_fin_period_start_date,latest_acc_fin_period_end_date,latest_income,latest_expenditure,charity_contact_address1,charity_contact_address2,charity_contact_address3,charity_contact_address4,charity_contact_address5,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web,charity_company_registration_number,charity_insolvent,charity_in_administration,charity_previously_excepted,charity_is_cdf_or_cif,charity_is_cio,cio_is_dissolved,date_cio_dissolution_notice,charity_activities,charity_gift_aid,charity_has_land
2026-04-24,245480,245480,0,MEDWAY SOCIETY OF CLUBS FOR THE PHYSICALLY HANDICAPPED,Other,Registered,1966-11-11,,Submission Received,2024-03-01,2025-02-28,8625.0,7469.0,MSCH Hall,The Strand,GILLINGHAM,,Kent,ME7 1TT,07842088646,MSCHCHARITY@gmail.com,,,false,false,false,,false,false,,Provide sports and social facilities for disabled members of the Medway Towns and surrounding areas.,false,true
2026-04-24,246906,246906,0,CHARITY OF THOMAS STEVENS,Other,Registered,1966-02-22,,Submission Received,2024-04-01,2025-03-31,757.0,1260.0,196-198 Bush Road,Cuxton,ROCHESTER,Kent,,ME2 1HE,01634716334,iangray@live.co.uk,,,false,false,false,,false,false,,"Thomas Stevens, a gentleman farmer, owner of Parsonage Farm, Cobham died 1893 and the charity was founded under the provision of his will. A charitable trust bequeathed to the parish of Cuxton, Kent, for those who deserve benefit. Originally set up to provide bread or coals for the poor; now interpreted as food or fuel. Beneficiaries must live within Cuxton civil parish for the minimum of 2 years.",false,false
2026-04-24,249339,249339,0,THE ROCHESTER DIOCESAN SOCIETY AND BOARD OF FINANCE,Charitable company,Registered,1966-09-26,,Submission Received,2024-01-01,2024-12-31,12655460.0,14449693.0,ROCHESTER DIOCESAN SOCIETY &amp; BOARD,OF FINANCE,ST. NICHOLAS CHURCH,BOLEY HILL,ROCHESTER,ME1 1SL,01634560000,enquiries@rochester.anglican.org,www.rochester.anglican.org,00140656,false,false,false,,false,false,,"ADMINISTRATIVE SUPPORT FOR THE CHURCH OF ENGLAND IN THE AREAS OF WEST KENT AND SOUTH EAST LONDON, WITH SUPPORT BEING GIVEN TO PARISHES, PEOPLE AND ORGANISATIONS IN THOSE AREAS",true,true
2026-04-24,249692,249692,0,THE GARTH DOUBLEDAY TRUST,Trust,Registered,1966-10-11,,Submission Received,2024-04-06,2025-04-05,114582.0,13582.0,2nd Floor,Maritime Place,"Quayside,Chatham Maritime",CHATHAM,Kent,ME4 4QZ,01634899800,,,,false,false,false,,false,false,,Provision of grants to charities and charitable purposes,false,false
2026-04-24,252603,252603,0,THE CITY OF ROCHESTER SOCIETY,Other,Registered,1967-06-23,,Submission Received,2024-01-01,2024-12-31,12115.0,18491.0,42 Academy Drive,GILLINGHAM,,,,ME7 3EJ,01634854683,info@city-of-rochester.org.uk,www.city-of-rochester.org.uk,,false,false,false,,false,false,,"The Society's area of interest is the pre-1974 city boundaries of Rochester including urban Strood.The Society's activities cover guided tours of Rochester, publication of leaflets/books on the City's history and making representation on relevant planning applications to Medway Council.The Society is represented on many bodies in the area covering tourism, built environment and conservation.",false,false
2026-04-24,252744,252744,0,HEMPSTEAD VILLAGE HALL MANAGEMENT COMMITTEE,Other,Registered,1967-12-18,,Submission Received,2024-04-01,2025-03-31,37562.0,50113.0,Hempstead Village Hall,169 Hempstead Road,Hempstead,GILLINGHAM,,ME7 3QG,07941 573713,hempsteadvillagehall@outlook.com,hempsteadvillagehall.com,,false,false,false,,false,false,,The Hall provides space and facilities for community services and activities.,false,false
2026-04-24,253877,253877,0,ROCHESTER CHORAL SOCIETY,Other,Registered,1967-10-04,,Submission Received,2023-08-01,2024-07-31,41901.0,38584.0,18 Watts Avenue,ROCHESTER,Kent,,,ME1 1RX,07968452047,rochesterchoral@gmail.com,www.rochesterchoral.co.uk,,false,false,false,,false,false,,"To promote, improve, develop and maintain public education in and appreciation of the art and science of music in all its aspects by:a) providing opportunities for members of the Medway and local communities to enjoy choral   music through participation and involvementb) the performance of public concerts and recitals and by such other means as the Society through its Committee shall determine",true,false
2026-04-24,254140,254140,0,RAPPORT HOUSING AND CARE,Charitable company,Registered,1967-12-06,,Suppressed,2020-10-01,2021-09-30,16663618.0,16828419.0,Rapport Housing & Care,The Old Wharf,Station Road,Cuxton,ROCHESTER,ME2 1AB,01634723007,enquiry@rapporthc.co.uk,www.rapporthousingandcare.co.uk,00908333,true,false,false,,false,false,,"The organisation exists to establish, manage and improve houses and homes which provide residential and supported accommodation, together with care and companionship, for elderly people.",true,true
2026-04-24,254358,254358,0,ROYAL ANTEDILUVIAN ORDER OF BUFFALOES G L E KENT COUNTY PROVINCIAL GRAND LODGE BENEVOLENT FUND,Trust,Registered,1967-12-18,,Submission Received,2024-01-01,2024-12-31,3.0,250.0,29 Waltham Road,GILLINGHAM,Kent,,,ME8 6XE,01634 353163,kentcountypgl@gmail.com,"",,false,false,false,,false,false,,Philanthropic help for members and their families together with donations to outside charitites,false,false
2026-04-24,258275,258275,0,CHURCH ESTATE,Other,Registered,1969-04-29,,Submission Received,2024-01-01,2024-12-31,17206.0,16189.0,St. Margarets Millennium Centre,Gatekeeper Chase,Rainham,GILLINGHAM,Kent,ME8 9BH,01634230183,vicar@rainhamchurch.co.uk,,,false,false,false,,false,false,,"Specifically for the upkeep, repair & maintenance of St Margaret's Church Rainham and its churchyard.",false,false
2026-04-24,258322,258322,0,ROYAL ENGINEERS ASSOCIATION,Other,Registered,1969-06-03,,Submission Received,2024-01-01,2024-12-31,1437036.0,1966681.0,The Royal Engineers Association,Ravelin Building,Brompton Barracks,Chatham,Kent,ME4 4UG ,01634847005,ken.kirk@reahq.org.uk,www.reahq.org.uk,,false,false,false,,false,false,,"To provide financial and other assistance to serving and former members of the Corps, their spouses, widows, widowers and dependants who are in need through poverty.  To make grants, within Association Guidelines, to the Army Benevolent Fund and to other charities that further the objectives of the Association.",false,true
2026-04-24,259740,259740,0,THE MEDWAY TOWNS GURUDWARA SABHA LIMITED,Charitable company,Registered,1970-09-22,,Submission Received,2024-01-01,2024-12-31,516691.0,396943.0,Medways Town Gurdwara Sabah,1-5 Lankester Parker Road,ROCHESTER,Kent,,ME1 3QU,01634270392,,,00894740,false,false,false,,false,false,,PROMOTE SIKHISM,true,false
2026-04-24,262179,262179,0,BURHAM WAR MEMORIAL,Other,Registered,1971-03-12,,Submission Received,2024-04-01,2025-03-31,0.0,65.0,Burham Parish Council,Rochester Road,Burham,ROCHESTER,,ME1 3RJ,01634685936,pam@burhampc.co.uk,www.burhampc.kentparishes.gov.uk,,false,false,false,,false,false,,lOOKS AFTER THE WAR MEMORIAL AND FENCING AND GATES,false,false
2026-04-24,262302,262302,0,THE ROTARY CLUB OF CHATHAM SERVICE FUND,Trust,Registered,1971-04-08,,Submission Received,2024-07-01,2025-06-30,1349.0,1394.0,9 Haredale Close,ROCHESTER,Kent,,,ME1 2DN,01634843958,Leonie.Rotary@outlook.com,www.chathamrotary.org.uk,,false,false,false,,false,false,,Within the framework of Rotary International:General Charitable PurposesRelief of PovertyOverseas aid/Famine reliefto: Children/Young peopleElderly/Old PeoplePeople with disabilitiesOther charities/Voluntary bodiesGeneral public/Mankind,true,false
2026-04-24,262487,262487,0,MEDWAY HINDU PARIVAR,Other,Registered,1971-06-14,,Submission Received,2024-01-01,2024-12-31,19793.0,19793.0,69 The Everglades,Hempstead,GILLINGHAM,Kent,,ME7 3PZ,07845077177,presidentmedwayhinduparivar@gmail.com,,,false,false,false,,false,false,,"We hold religious, social and cultural functions and collective Hindu worship. Our youth wing learns and exhibits folk and cultural dances/songs at our events and is a very active group. We run a senior citizens' group that meets once a week and engages in physical, social, cultural and religious activities.",false,false
2026-04-24,264018,264018,0,THE ST MICHAEL LE QUERNE LODGE (FREEMASONS) BENEVOLENT FUND,Other,Registered,1972-08-01,,Submission Received,2024-04-01,2025-03-31,0.0,0.0,19 Park Crescent,CHATHAM,,,,ME4 6NR ,01634405945,alansmart.aes@gmail.com,,,false,false,false,,false,false,,TO ASSIST MASONS AND THEIR FAMILIES IN TIMES HARDSHIP OR DISTRESS,false,false
2026-04-24,264432,264432,0,THE SAMARITAN FUND,Other,Registered,1972-08-23,,Submission Received,2024-01-01,2024-12-31,20166.0,15751.0,Regtl Headquarters Royal Engineers,Brompton Barracks,Chatham,,Kent,ME4 4UG,07539 009741 ,secretary@reows.co.uk,www.reows.co.uk,,false,false,false,,false,false,,Gives financial support to the widow(er)s and/or dependants of deceased Royal Engineer Officers.,true,false
2026-04-24,264844,264844,0,CITY OF ROCHESTER SYMPHONY ORCHESTRA,Other,Registered,1972-11-20,,Submission Received,2023-08-01,2024-07-31,23165.0,31544.0,2 DE MERE CLOSE,GILLINGHAM,,,,ME8 9JY,01634378299,info@crso.org.uk,www.crso.org.uk,,false,false,false,,false,false,,"A local orchestra for local players and audience membersEncourage people in the South East to play live orchestral musicEncourage people in South East to take full advantage of the opportunity to hear live orchestral music, played to a high standard Provide cultural activity that strives for excellence and develops confidence and pride for players, the audience and the South East region.",true,false
2026-04-24,265953,265953,0,ALLHALLOWS VILLAGE HALL,Trust,Registered,1973-09-17,,Submission Received,2024-01-01,2024-12-31,9786.0,14544.0,25 Binney Road,Allhallows,ROCHESTER,Kent,,ME3 9QP,07764 610029 ,allhallowsvillagehall70@gmail.com,,,false,false,false,,false,false,,"Social functions for community, pre school, bingo, quiz nights, indoor bowling, dancing instruction and weddings, birthday parties, etc",false,true
2026-04-24,269935,269935,0,BURHAM VILLAGE HALL,Other,Registered,1975-09-17,,Submission Received,2023-10-01,2024-09-30,21950.0,22389.0,17 BELL CRESCENT,BURHAM,ROCHESTER,,,ME1 3SZ,01634867669,,,,false,false,false,,false,false,,"To manage the day to day running of Burham Village Hall, on behalf of the residents of the village of Burham.",false,true
2026-04-24,270221,270221,0,12th and 17th Medway Towns Scout Group,Other,Registered,1975-11-05,,Submission Received,2024-04-01,2025-03-31,25635.0,18417.0,12th and 17th Medway Scout Hut,Capstone Road,Chatham,Kent,,ME5 7PL,07738626073,trustee@12th17thmedwaytowns.org.uk,https://www.12th17thmedwaytowns.org.uk,,false,false,false,,false,false,,"THE AIM OF THE SCOUT ASSOCIATION IS TO PROMOTE THE DEVELOPMENT OF YOUNG PEOPLE.BY PROVIDING A BALANCED PROGRAMME OF ACTIVITIES THAT PROVIDE FUN, LEARNING AND SUPPORTING THE LOCAL COMMUNITY. WE SEEK TO ACHIEVE THIS BY USING THE BALANCED TRAINING PROGRAMME SCHEME.",false,true
2026-04-24,270790,270790,0,PARKWOOD COMMUNITY ASSOCIATION,Other,Registered,1976-03-29,,Submission Received,2024-01-01,2024-12-31,366319.0,410241.0,PARKWOOD COMMUNITY CENTRE,PARKWOOD GREEN,GILLINGHAM,,,ME8 9PN,01634371886,INFO@PWCA-RAINHAM.ORG,www.pwca-rainham.org,,false,false,false,,false,false,,"PWCA is primariliy set up to provide Social Welfare & Education activities within the Parkwood Area. This includes a number of activities such as; Pre-School Nursery, Dancing Classes, Keep Fit, Slimming Classes and a number of internal groups (such as Camera, Organ, Radio enthusiasts groups).",false,true
2026-04-24,271371,271371,0,THE DUROBRIVAE LODGE BENEVOLENT FUND,Other,Registered,1976-05-26,,Submission Received,2024-04-01,2025-03-31,77445.0,67146.0,87 Valley View Road,ROCHESTER,Kent,,,ME1 3NX,01634323991,Jeremy@jbindustrialdoors.co.uk,,,false,false,false,,false,false,,"As a Masonic Lodge we collect via members and visitors donations from a variety of ways (raffles,alms,box and envelopes) which we then donate to charitable causes either masonic charities and non masonic charities.The masonic hall is let to various masonic groups as well as non masonic groups",false,true
2026-04-24,273123,273123,0,MEDWAY AREA SUNDAY FOOTBALL LEAGUE BENEVOLENT FUND,Other,Registered,1977-03-25,,Submission Received,2024-01-01,2024-12-31,8.0,0.0,M C Associates Ltd,80c Asquith Road,Gillingham,,,ME8 0JB,01634230151,ENRIGHT.PETER@SKY.COM,www.mmsfl.co.uk,,false,false,false,,false,false,,To help those involved in local football in the Medway area.,false,false
2026-04-24,273392,273392,0,THE ST PETER-UPON-CORNHILL TRUST,Other,Registered,1977-04-24,,Submission Received,2024-01-01,2024-12-31,1400.0,0.0,47 St. Margarets Street,Rochester,,,,ME1 1UF,02075663816,,stpeteruponcornhill.org.uk,,false,false,false,,false,false,,Financial support for St Peter-upon-Cornhill and associated Christian ministries,true,false
2026-04-24,273489,273489,0,THE VALERIE WHITE MEMORIAL TRUST,Trust,Registered,1977-06-27,,Submission Received,2024-04-06,2025-04-05,43863.0,22980.0,Second Floor South,The Fitted Rigging House,Anchor Wharf,The Historic Dockyard,Chatham Kent,ME4 4TZ,01474569032,info@carley.co.uk,,,false,false,false,,false,false,,Grant making to animal trusts and drama students.,false,false
2026-04-24,273596,273596,0,LIVE MUSIC NOW LIMITED,Charitable company,Registered,1977-05-25,,Submission Received,2024-04-01,2025-03-31,1362782.0,1399431.0,Live Music Now,337-341 High Street,ROCHESTER,Kent,,ME1 1DA,020 7759 1803,info@livemusicnow.org.uk,www.livemusicnow.org.uk,01312283,false,false,false,,false,false,,"Live Music Now is a UK-wide music outreach charity, established in 1977 by Yehudi Menuhin with two strategic aims;  To bring live music of the highest quality to those for whom access to its benefits is normally restricted; To support the professional development of musicians at the outset of their careers, ensuring the highest quality of delivery through a rigorous selection and training process.",true,false
2026-04-24,273973,273973,0,THE ASSOCIATION OF THE FRIENDS OF ROCHESTER CATHEDRAL,Other,Registered,1977-09-22,,Submission Received,2024-01-01,2024-12-31,51450.0,40695.0,GARTH HOUSE,THE PRECINCT,ROCHESTER,,,ME1 1SX,01634832142,FRIENDSOFROCHESTERCATHEDRAL@BTINTERNET.COM,,,false,false,false,,false,false,,"The objects of the charity are to assist the Dean and Chapter to preserve and maintain the fabric and monuments of Rochester Cathedral and lands in connection therewith and preserve and maintain the worship and services in Rochester Cathedral and further the religious works of the Cathedral. To achieve its objects, the charity offers membership to all who are interested in the aims of the charity",true,false
2026-04-24,274773,274773,0,HALLING JUBILEE HALL,Other,Registered,1978-03-01,,Submission Received,2024-10-01,2025-09-30,10569.0,5239.0,80 Pilgrims Road,Halling,Rochester,Kent,United Kingdom,ME2 1HP,01634249624,"",,,false,false,false,,false,false,,Letting of hall to individuals and societies for leisure and education,false,true
2026-04-24,275348,275348,0,LONG LANE WOOD CAMP SITE CHARITY,Other,Registered,1978-03-28,,Submission Received,2024-04-01,2025-03-31,1724.0,974.0,8 Harty Avenue,GILLINGHAM,Kent,,,ME8 0NA,07941965272,longlanewood@hotmail.com,,,false,false,false,,false,false,,Natural woodland used for outdoor pursuits by leader-led youth groups.,false,true
2026-04-24,275476,275476,0,"FRIENDS OF ST MARGARET'S CHURCH, RAINHAM",Other,Registered,1978-04-27,,Submission Received,2024-04-01,2025-03-31,2291.0,473.0,7 ROBERTS ROAD,GILLINGHAM,,,,ME8 0AY,01634230183,joanpantony@hotmail.com,,,false,false,false,,false,false,,"To advance the Christian Religion by the repair, preservation, maintenance, restoration, beautification and reconstruction of the Parish Church of St Margaret's, Rainham, Kent, its monuments, fixtures, fittings, stained glass and other chattels together with its churchyard.",true,false
2026-04-24,276014,276014,0,THE FARTHING CORNER FAMILIES' ASSOCIATION,Other,Registered,1978-07-06,,Submission Received,2024-04-01,2025-03-31,3549.0,5761.0,20 SANDGATE COURT,RAINHAM,GILLINGHAM,,,ME8 8TQ,01634324517,grahamosborne@blueyonder.co.uk,,,false,false,false,,false,false,,Provide a building for use by local groups,false,true
2026-04-24,276215,276215,0,VALIANT SWIMMING CLUB,Other,Registered,1978-07-27,,Submission Received,2024-01-01,2024-12-31,956.0,1157.0,42 JERSEY ROAD,ROCHESTER,,,,ME2 3PE,01634721208,,,,false,false,false,,false,false,,Swimming Activities for the Disabled,false,false
2026-04-24,279536,279536,0,STOKE VILLAGE HALL,Other,Registered,1980-03-05,,Submission Received,2024-01-01,2024-12-31,8105.0,6827.0,5 Seaview,Isle of Grain,ROCHESTER,,,ME3 0EW ,01637270186,,,,false,false,false,,false,false,,Hire of village hall for use by local community and doctors surgery.,false,true
