organisation_number,registered_charity_number,charity_name,charity_type,charity_activities,charity_registration_status,charity_reporting_status,charity_is_cio,date_of_registration,charity_contact_address1,charity_contact_address2,charity_contact_address3,charity_contact_address4,charity_contact_address5,charity_contact_web,charity_contact_phone,charity_contact_email,charity_contact_postcode,latest_income,latest_expenditure,latest_acc_fin_period_start_date,latest_acc_fin_period_end_date,charity_gift_aid,charity_previously_excepted,charity_company_registration_number,charity_is_cdf_or_cif,charity_has_land,linked_charity_number,date_of_extract
205992,205992,"THE LEAGUE OF FRIENDS OF THE QUEEN VICTORIA MEMORIAL HOSPITAL, HERNE BAY",Other,"The objectives and activities of the League of Friends are to encourage and maintain the interest of the public in the patients and to support the work of the Queen Victoria Memorial Hospital, Herne Bay.",Registered,Submission Received,false,1962-10-09T00:00:00,69 MICKLEBURGH AVENUE,HERNE BAY,,,,,01227372935,ray.sidders@gmail.com,CT6 6HB,252461.0,35865.0,2024-07-01T00:00:00,2025-06-30T00:00:00,true,false,,,false,0,2026-06-05T00:00:00
206077,206077,THE NIGHTINGALE TRUST,Other,The trustees do not respond to appeals which are not connected with Wormshill.,Registered,Submission Received Late,false,1967-04-14T00:00:00,Wormshill Court,Wormshill,Sittingbourne,,,,01622884272,,ME9 0TS,15640.0,4779.0,2024-04-06T00:00:00,2025-04-05T00:00:00,true,false,,,false,0,2026-06-05T00:00:00
206109,206109,WADHURST UNITED CHARITIES,Other,The maintenance and improvement of 5 almshouses in Wadhurst for the benefit of poor people of good character who must normally have been resident in Wadhurst for not less than the two years next preceeding their residency in the almshouses.,Registered,Submission Received,false,1962-09-22T00:00:00,Hatherley,South View Road,Sparrows Green,Wadhurst,,,07934762522,martnjen@gmail.com,TN5 6TN,22467.0,13100.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206150,206150,RIFGINS CHARITY,Other,"THE charity was founded in 1611. Its principle activity is to apply its income in relieving either gererally or individually persons resident in Boughton Monchelsea who are in conditions of need, hardship or distress by making grants of money or providing or paying for items, services or facilities calculated to reduce the need, hardship or distress of such persons.",Registered,Submission Received,false,1962-09-22T00:00:00,IDEN FARM COTTAGE,HEATH ROAD,BOUGHTON MONCHELSEA,MAIDSTONE,,,01622741572,ian.ellis11@gmail.com,ME17 4JE,8676.0,5247.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206182,206182,RESTHAVEN ALMSHOUSES,Other,Provision of housing,Registered,Submission Received,false,1962-09-22T00:00:00,2 Chequer Lane,Ash,Canterbury,,,,07876597988,ashcentral1@gmail.com,CT3 2ET,36929.0,22082.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206252,206252,EAST WICKHAM AND WELLING WAR MEMORIAL TRUST,Trust,"Grant giving charity and offering the following categories of grants to individuals or community based organisations within the boundaries of East Wickham and Welling: Capital Grants for Improvements to Premises, Grants Towards the Hire of Premises and Individual Grants for Character Building Courses or Expeditions.  The Trustees also offer an academic bursary.",Registered,Submission Received,false,1969-08-27T00:00:00,PO BOX 628,WELLING,KENT,,,ewt.org.uk,01,admin@ewt.org.uk,DA16 2TF,21133.0,69433.0,2024-07-01T00:00:00,2025-06-30T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206278,206278,GODMERSHAM RELIEF IN NEED CHARITY,Other,"Grants made for the relief of hardship, towards the cost of extra curricular activities for school children and to help with the purchase of course material by further education students. Grants also made to local organizations such as the Brownie pack. Life-line alarm systems rented for the elderly.",Registered,Submission Received,false,1979-10-22T00:00:00,Marden,Canterbury Road,Bilting,Ashford,,,01233812095,knuckeyjulie@gmail.com,TN25 4HE,9015.0,6681.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206314,206314,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS SUSSEX EAST AND HASTINGS BRANCH,Other,RE-HOMING CATS AND DOGSFUNDRAISING,Registered,Submission Received,false,1963-09-22T00:00:00,Bluebell Ridge,Chowns Hill,Hastings,,,https://www.bluebellridge.org/, 01424 752121,bluebellridge@hotmail.com,TN35 4PA,312427.0,365603.0,2024-01-01T00:00:00,2024-12-31T00:00:00,true,false,,,true,0,2026-06-05T00:00:00
206368,206368,JESUS HOSPITAL,Other,"THE CHARITY WAS FORMED TO PROVIDE ALMSHOUSES FOR 17 POOR PERSONS OF EITHER SEX, MARRIED OR UNMARRIED AND BEING MEMBERS OF THE CHURCH OF ENGLAND OF WHOM, AS NEARLY AS POSSIBLE, SIX SHALL BE WOMEN AND ELEVEN SHALL BE MEN.  ALMSPEOPLE SHALL HAVE RESIDED IN THE CITY OF CANTERBURY FOR NOT LESS THAN 7 YEARS AND SHALL BE PERSONS OF NOT LESS THAN 55 YEARS OF AGE.",Registered,Submission Received,false,1963-08-24T00:00:00,2 Jesus Hospital,Sturry Road,Canterbury,,,,01227421313,JHCWARDEN@OUTLOOK.COM,CT1 1BS,78283.0,107337.0,2024-09-30T00:00:00,2025-09-29T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206370,206370,BEXLEYHEATH AND DISTRICT CLUB FOR THE DISABLED,Trust,Social activities for elderly & physically disabled people.,Registered,Submission Received,false,1962-09-22T00:00:00,Club Hall,Barton Close,Bexleyheath,,,,02083034826,bexleyheathdisabled@hotmail.com,DA6 8JP,23055.0,16869.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206381,206381,PAROCHIAL CHARITIES,Other,"The charity provides assistance and financial relief in the payment of pressing debts, and the purchase of necessary items required for people eligible in the parish, often elderly, or single parents. Assistance can also be given for travelling expenses and the needs of children.",Registered,Submission Received,false,1962-09-22T00:00:00,59 Westwood Road,Maidstone,,,,,07843227795,rozt59@gmail.com,ME15 6BG,815.0,900.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206395,206395,BLACKHAM VILLAGE HALL,Trust,Small village hall run for the benefit of the local community of Blackham.,Registered,Submission Received,false,1962-09-22T00:00:00,SUMMERFIELDS,BLACKHAM,TUNBRIDGE WELLS,,,,01892740154,martin@summerfields1.co.uk,TN3 9TS,7634.0,7505.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206591,206591,THE BATTLE CHARITIES,Other,"The application of the income of the Charity for the benefit of needy persons living in Battle and Netherfield selected by the Trustees. This includes payment of heating grants, childrens' grants and special grants.",Registered,Submission Received,false,1962-09-22T00:00:00,The Hurst,Netherfield Hill,BATTLE,East Sussex,,,01424 774435,thebattlecharities@gmail.com,TN33 0LA,4177.0,5626.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206645,206645,COMBINED CHARITIES OF H SLOYDEN AND J DURRANT,Other,"We make grants to residents suffering hardship within the Parish of Littlebourne. We can be contacted directly, through members of the Parish Council, other residents or the vicar. A full report is given to residents including contact information at the annual parish meeting to which all residents are invited.",Registered,Submission Received,false,1962-09-22T00:00:00,40 HIGH STREET,LITTLEBOURNE,CANTERBURY,,,,01227728228,cllrgiles@littlebournepc.org,CT3 1ST,141.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206686,206686,HILLS AND OTHER UNKNOWN DONORS,Other,Donations to poor of parish,Registered,Submission Received,false,1962-09-22T00:00:00,Rushbrooke Farm,Pluckley,Ashford,,,,01233840203,janetgwillim203@gmail.com,TN27 0SD,880.0,1000.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
206758,206758,IDEN CHURCH ROOM,Other,"We operate a building that can be used as a meeting place subject to the agreement of the Trustees- the Trust Deed of 1921 fully describes what we can do, including letting the building.",Registered,Submission Received,false,1962-09-22T00:00:00,THE OLD SCHOOL HOUSE,CHURCH LANE,IDEN,RYE,,,01797280304,idenparish@outlook.com,TN31 7XD,1810.0,5327.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206812,206812,SMEED'S CHARITY,Other,Aid for the poor of the parish of Tunstall,Registered,Submission Received,false,1962-09-22T00:00:00,Kreston Reeves,Montague Place,Quayside,Chatham Maritime,CHATHAM,,01634899800,,ME4 4QU,486.0,0.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206817,206817,CHARITY OF ANTHONY ROPER,Other,"Provides grants gifts and donations to qualifying groups and individuals residing within the North West Kent Parishes of Farningham, Eynsford, Crockenhill, Horton Kirby and South Darenth.Does not carry out fund raising activities",Registered,Submission Received,false,1962-09-22T00:00:00,Orchard End,Park Lane,Elham,CANTERBURY,Kent,https://roperscharity.com/,01303840820,stanyonc@aol.com,CT4 6UR,6053.0,6647.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206903,206903,DAME MARY CHOWN'S CHARITY AND OTHER CHARITIES,Other,The Charity gives financial assistance to the elderly in the Parish for specific needs and also makes an annual Fuel Gift in January of each year. A Christmas Lunch is given each year. The Charity has also supported other organisations involved with the elderly such as the Evergreen Club.,Registered,Submission Received,false,1962-09-22T00:00:00,Cobtree House,The Green,West Peckham,MAIDSTONE,Kent,,07703306490,,ME18 5JW,2019.0,1660.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206905,206905,SIR EDWARD HALES' CHARITY (OTHERWISE KNOWN AS LEGGE FARM CHARITY),Other,TO PROVIDE AN EMERGENCY FUND TOWARDS THE FINANCIAL SUPPORT OF ANY RESIDENT OF WOODCHURCH WHO IS GENUINELY IN NEED; TO HELP RELIEVE POVERTY AND HARDSHIP.,Registered,Submission Received,false,1962-09-22T00:00:00,C/o Woodchurch HUB,Front Road,Woodchurch,Kent,,https://www.woodchurchhub.uk/woodchurch-charities/,01233861381,ENQUIRIES@LEGGEFARMCHARITY.UK,TN26 3PA,2252.0,805.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206989,206989,WILLIAM DRAYTON'S CHARITY,Other,Financial support for church,Registered,Submission Received,false,1962-09-22T00:00:00,"4 Four Horseshoes Park,",Graveney,Faversham,Faversham,Kent,,07432010367,janetipayne47@gmail.com,ME13 8HR,0.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
206992,206992,JOHN SMITH'S CHARITY,Other,To assist with running of Ospringe Church,Registered,Submission Received,false,1962-09-22T00:00:00,4 Four Horseshoes Park,Seasalter Road,Graveney,FAVERSHAM,,,01795530854,janetipayne47@gmail.com,ME13 9DE,0.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207019,207019,THE BETENSON TRUST,Other,ownership and operation of almshouses,Registered,Submission Received,false,1962-09-27T00:00:00,Rookery Dene,Long Mill Lane,Platt,SEVENOAKS,,,01732885612,sallewell@gmail.com,TN15 8NA,55571.0,150135.0,2023-10-01T00:00:00,2024-09-30T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207020,207020,THE NEW COLLEGE OF COBHAM,Other,Provision of sheltered housing for the elderly,Registered,Submission Received,false,1962-09-22T00:00:00,NEW COLLEGE OF COBHAM,COBHAMBURY ROAD,COBHAM,NR.GRAVESEND,,,01474812503,cobcol@btinternet.com,DA12 3BG,238505.0,315603.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207021,207021,THE FRIENDS OF KENT CHURCHES,Other,Promotion of the preservation of churches in the County of Kent (pre April 1965 boundaries) and to help maintain in good order their fabric and fixtures of special importance and to provide the facilities necessary to keep them in use,Registered,Submission Received,false,1962-09-22T00:00:00,PARSONAGE FARM HOUSE,HAMPSTEAD LANE,YALDING,MAIDSTONE,,www.friendsofkentchurches.co.uk/,01622815569,janebird01@gmail.com,ME18 6HG,214340.0,232106.0,2024-01-01T00:00:00,2024-12-31T00:00:00,true,false,,,false,0,2026-06-05T00:00:00
207064,207064,ECCLESIASTICAL CHARITY OF SIR ROBERT BRETT,Other,Religious activities,Registered,Submission Received,false,1962-09-22T00:00:00,13 Worcester Avenue,Kings Hill,WEST MALLING,,,,01732845187,,ME19 4FL,127.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207068,207068,FIVE ASH DOWN VILLAGE HALL,Other,"Provides a small hall available to local groups for hire on a casual or regular basis. Suitable for meetings, keep fit groups, adult education classes, young children's parties.",Registered,Submission Received,false,1962-09-22T00:00:00,GREEN HAYES,FIVE ASH DOWN,UCKFIELD,,,,01825733367,,TN22 3AH,4689.0,3696.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207078,207078,CHARITIES OF EDWARD SEDGWICK AND SARA GODFREY,Other,The Trust continues to operate locally. Fields and allotments are in use. The Trust Cottages are fully occupied.  Routine maintenance continues with local tradesmen employed.  Improvements to the general standard of housing quality have been carried out on a planned schedule to conform to current standards.  The Trust continuesto support disadvantaged residents and students within the Parish.,Registered,Submission Received,false,1969-09-22T00:00:00,11 Somerfield Barn Court,Main Road,Sellindge,ASHFORD,,,01303814235,,TN25 6JD,39098.0,6266.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207100,207100,THE WARDENS AND ASSISTANTS OF ROCHESTER BRIDGE IN THE COUNTY OF KENT,Other,"The maintenance and improvement of two road bridges and a services bridge (known as Rochester Bridge).  Care of and access to archives and historical artefacts. The promotion of other charitable purposes through projects and the award of grants for education and research in engineering, agriculture & history; heritage structures; and charitable purposes connected to the River Medway.",Registered,Submission Received,false,1962-05-30T00:00:00,Rochester Bridge Trust,St. Andrews House,The Precinct,ROCHESTER,Kent,www.rbt.org.uk,01634846706,enquiries@rbt.org.uk,ME1 1SU,3858749.0,6639464.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207221,207221,JESSE GREGSON CHARITY,Other,"for the 'needy' of the Parish of Brightling, East Sussex",Registered,Submission Received,false,1962-09-22T00:00:00,2 Grants Cottages,Battle Road,Brightling,ROBERTSBRIDGE,East Sussex,,07799 846299,NICOLACOURTNEYBENNETT@GMAIL.COM,TN32 5HZ,21.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207222,207222,F H SCOTT'S CHARITY,Other,"for the 'deserving poor' of the Parish of Brightling, East Sussex",Registered,Submission Received,false,1962-09-22T00:00:00,2 Grants Cottages,Battle Road,Brightling,ROBERTSBRIDGE,,,07799 846299,NICOLACOURTNEYBENNETT@GMAIL.COM,TN32 5HZ,191.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207262,207262,KNIGHT'S ALMSHOUSES,Other,Housing elderly single women,Registered,Submission Received,false,1962-09-22T00:00:00,C/o Gravesham Borough Council,Civic Centre,Windmill Street,GRAVESEND,Kent,,07368524888,knights.almshouses@hotmail.com,DA12 1AU,33898.0,33388.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207304,207304,THE MARY HOUGHAM ALMSHOUSES,Other,"To procure, maintain  and let 12 Almshouses in Deal to aged and infirm Deal boatmen and subject thereto poor, aged and infirm persons who are inhabitants of the former Borough of Deal as constituted on  31 March 1974.To apply the income of the Charity  for the benefit of the occupants or any of them in such manner as the Trustees think fit from time to time.",Registered,Submission Received,false,1962-11-06T00:00:00,61 Redsull Avenue,DEAL,Kent,,,,07469353504,maryhoughamalmshouses@hotmail.co.uk,CT14 9HE,81722.0,152912.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207366,207366,THE WILLIAM SHADWELL CHARITY,Other,Donations to poor. Donations to help those who are sick or disabled.,Registered,Submission Received,false,1962-09-22T00:00:00,21 St. Matthews Gardens,ST. LEONARDS-ON-SEA,East Sussex,,,,07814102210,WilliamShadwellCharity@gmail.com,TN38 0TT,13623.0,14370.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207438,207438,THE TONBRIDGE TOWN LANDS AND RICHARD MYLLS CHARITY,Other,Provision of local amenties in conjunction with Tonbridge & Malling Borough Council,Registered,Submission Received,false,1972-10-23T00:00:00,8 LECONFIELD CLOSE,TONBRIDGE,,,,,01732364465,roylesley91@gmail.com,TN9 2QU,2863.0,5090.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207602,207602,JAMES TILLARD'S (ELEEMOSYNARY) CHARITY,Other,Donations for relief of poverty.,Registered,Submission Received,false,1962-09-22T00:00:00,MEADOW VIEW,FAUSSETT HILL,STREET END,CANTERBURY,,no.websiteavailable,01227 450497,b.young737@googlemail.com,CT4 7AJ,758.0,1012.0,2024-11-01T00:00:00,2025-10-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207658,207658,THE CHEYNEY ALMSHOUSE CHARITY,Other,Provide affordable housing for key worker in the area,Registered,Submission Received,false,1969-01-14T00:00:00,"Old Church Farm,",Church Lane,Guestling,HASTINGS,East Sussex,,07947630400,pwkh@knatchbull.co.uk,TN35 4LS,0.0,361.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
207743,207743,THE METROPOLITAN DRINKING FOUNTAIN AND CATTLE TROUGH ASSOCIATION,Other,"We provide overseas aid for water based projects such as building bore holes or providing elephant pumps, irrigation for villages and water troughs for animals.",Registered,Submission Received,false,1962-09-22T00:00:00,5 Queenborough Gardens,Chislehurst,,,,drinkingfountains.org,02084671261,ralph.baber@drinkingfountains.org,BR7 6NP,52649.0,40341.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207764,207764,CHARITY OF JANE COOPER FOR COAL,Other,Makes heating grants to people in need,Registered,Submission Received,false,1962-09-22T00:00:00,ST. PETERS CHURCH,COLLEGE ROAD,SWANLEY,,,,01322662320,,BR8 7RH,393.0,0.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207839,207839,SHORNE UNITED CHARITIES,Other,Making grants to individuals resident in Shorne Parish,Registered,Submission Received,false,1962-09-22T00:00:00,15 COURT LODGE,SHORNE,GRAVESEND,,,,01474823355,theresa_davies@hotmail.com,DA12 3EQ,642.0,180.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
207918,207918,THE UNKNOWN DONOR'S OR HENDLEY'S CHARITY,Other,Assisting with the care of elderly and the needy people in Maidstone BC,Registered,Submission Received,false,1962-09-22T00:00:00,The Granary Loft,12 Foremans Walk,High Street,Headcorn,Ashford,,01622890971,,TN27 9NE,961.0,665.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
208004,208004,ROSE TRUST,Trust,Provision of low-cost housing and alleviation of poverty in Wadhurst.,Registered,Submission Received,false,1962-09-22T00:00:00,Carillon Cottage,High Street,WADHURST,East Sussex,,, 07394 526689,ROSETRUST.WADHURST@GMAIL.COM,TN5 6AA,39864.0,66397.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
208015,208015,CHARITY OF AMY TEMPLE,Other,"Seven detached bungalows, each providing accommodation for one widow/spinster over the age of 60. The residents must be able to look after themselves.",Registered,Submission Received,false,1962-09-22T00:00:00,Bay Cliffe House,Chapel Lane,St. Margarets-At-Cliffe,DOVER,Kent,www.amytemplecharity.co.uk,07711073400,charityofamytemple@gmail.com,CT15 6BL,39700.0,7426.0,2024-01-01T00:00:00,2024-12-31T00:00:00,true,false,,,true,0,2026-06-05T00:00:00
208028,208028,THE BEXHILL TRUST,Trust,"Payment/donation of grants for the relief of poverty, the advancement of education, any other charitable objects of general public utility. The recipients must reside within the area of the former Borough of Bexhill.",Registered,Submission Received,false,1962-09-22T00:00:00,19 Woodville Road,BEXHILL-ON-SEA,East Sussex,,,bexhilltrust.org,07514624185,bexhilltrust@yahoo.com,TN39 3ET,164.0,2915.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
208111,208111,"ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS KENT, ASHFORD, TENTERDEN AND DISTRICT BRANCH",Other,"Animal rescue, care and rehoming.",Registered,Submission Received,false,1962-09-22T00:00:00,34 STATION ROAD,ASHFORD,KENT,,,www.rspca-ashforddistrict.org.uk,01233641189,branch@rspca-ashforddistrict.org.uk,TN23 1PH,268816.0,250151.0,2024-01-01T00:00:00,2024-12-31T00:00:00,true,false,,,true,0,2026-06-05T00:00:00
208130,208130,WARBLETON CHARITY,Other,Relief of the poor in Warbleton East Sussex. Small vocational training and apprenticeship grants,Registered,Submission Received,false,1985-09-06T00:00:00,3 Benhall Mill Place,Benhall Mill Road,TUNBRIDGE WELLS,,,,01892513899,leeves@freenetname.co.uk,TN2 5EE ,3888.0,1836.0,2024-01-01T00:00:00,2024-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
208258,208258,FORDWICH UNITED CHARITIES,Other,"Social, Educational, Heritage",Registered,Submission Received,false,1962-09-22T00:00:00,14 Fordwich Road,Sturry,CANTERBURY,Kent,,,07941 631079,,CT2 0BN,33877.0,23297.0,2025-01-01T00:00:00,2025-12-31T00:00:00,true,false,,,true,0,2026-06-05T00:00:00
